partNumber,nps,pressureClass,material,thicknessLabel,thicknessIn,pricePerLb,actualWeightLbs,adjustedWeightLbs,wholesalePrice,listPrice
PBSA516-70-CX900T2-1/4S16,"16""",900,SA-516-70,"2-1/4""",2.25,2.18,305.77,428.08,978,1076
PB304L-CX900T2-1/4S16,"16""",900,304L,"2-1/4""",2.25,6.01,319.43,447.2,2733,3007
PB316L-CX900T2-1/4S16,"16""",900,316L,"2-1/4""",2.25,7.48,323.07,452.3,3428,3771
PBAL6061-CX900T2-1/4S16,"16""",900,AL-6061,"2-1/4""",2.25,5.1,107.74,150.84,814,896
PB304-CX900T2-1/2S16,"16""",900,304,"2-1/2""",2.5,5.55,354.93,496.9,2803,3084
PBSA36-CX900T2-1/2S16,"16""",900,SA-36,"2-1/2""",2.5,1.87,339.75,475.65,934,1028
PBSA516-70-CX900T2-1/2S16,"16""",900,SA-516-70,"2-1/2""",2.5,2.18,339.75,475.65,1082,1191
PB304L-CX900T2-1/2S16,"16""",900,304L,"2-1/2""",2.5,6.01,354.93,496.9,3031,3335
PB316L-CX900T2-1/2S16,"16""",900,316L,"2-1/2""",2.5,7.48,358.96,502.54,3804,4185
PBAL6061-CX900T2-1/2S16,"16""",900,AL-6061,"2-1/2""",2.5,5.1,119.71,167.59,900,991
PB304-CX900T3S16,"16""",900,304,"3""",3,5.55,425.91,596.27,3354,3690
PBSA36-CX900T3S16,"16""",900,SA-36,"3""",3,1.87,407.69,570.77,1112,1224
PBSA516-70-CX900T3S16,"16""",900,SA-516-70,"3""",3,2.18,407.69,570.77,1289,1418
PB304L-CX900T3S16,"16""",900,304L,"3""",3,6.01,425.91,596.27,3628,3991
PB316L-CX900T3S16,"16""",900,316L,"3""",3,7.48,430.75,603.05,4556,5012
PBAL6061-CX900T3S16,"16""",900,AL-6061,"3""",3,5.1,143.65,201.11,1071,1179
PB304-CX900T11GAS18,"18""",900,304,11 Gauge,0.1196,5.55,20.94,29.32,212,234
PBSA36-CX900T11GAS18,"18""",900,SA-36,11 Gauge,0.1196,1.87,20.04,28.06,102,113
PBSA516-70-CX900T11GAS18,"18""",900,SA-516-70,11 Gauge,0.1196,2.18,20.04,28.06,110,122
PB304L-CX900T11GAS18,"18""",900,304L,11 Gauge,0.1196,6.01,20.94,29.32,225,248
PB316L-CX900T11GAS18,"18""",900,316L,11 Gauge,0.1196,7.48,21.18,29.65,271,299
PBAL6061-CX900T11GAS18,"18""",900,AL-6061,11 Gauge,0.1196,5.1,7.06,9.88,99,109
PB304-CX900T1/8S18,"18""",900,304,"1/8""",0.125,5.55,21.88,30.63,219,241
PBSA36-CX900T1/8S18,"18""",900,SA-36,"1/8""",0.125,1.87,20.95,29.33,104,115
PBSA516-70-CX900T1/8S18,"18""",900,SA-516-70,"1/8""",0.125,2.18,20.95,29.33,113,125
PB304L-CX900T1/8S18,"18""",900,304L,"1/8""",0.125,6.01,21.88,30.63,233,257
PB316L-CX900T1/8S18,"18""",900,316L,"1/8""",0.125,7.48,22.13,30.98,281,310
PBAL6061-CX900T1/8S18,"18""",900,AL-6061,"1/8""",0.125,5.1,7.38,10.33,102,113
PB304-CX900T3/16S18,"18""",900,304,"3/16""",0.1875,5.55,32.83,45.96,304,335
PBSA36-CX900T3/16S18,"18""",900,SA-36,"3/16""",0.1875,1.87,31.42,43.99,131,145
PBSA516-70-CX900T3/16S18,"18""",900,SA-516-70,"3/16""",0.1875,2.18,31.42,43.99,145,160
PB304L-CX900T3/16S18,"18""",900,304L,"3/16""",0.1875,6.01,32.83,45.96,325,358
PB316L-CX900T3/16S18,"18""",900,316L,"3/16""",0.1875,7.48,33.2,46.48,397,437
PBAL6061-CX900T3/16S18,"18""",900,AL-6061,"3/16""",0.1875,5.1,11.07,15.5,128,141
PB304-CX900T1/4S18,"18""",900,304,"1/4""",0.25,5.55,43.77,61.28,389,428
PBSA36-CX900T1/4S18,"18""",900,SA-36,"1/4""",0.25,1.87,41.89,58.65,159,175
PBSA516-70-CX900T1/4S18,"18""",900,SA-516-70,"1/4""",0.25,2.18,41.89,58.65,177,195
PB304L-CX900T1/4S18,"18""",900,304L,"1/4""",0.25,6.01,43.77,61.28,417,459
PB316L-CX900T1/4S18,"18""",900,316L,"1/4""",0.25,7.48,44.26,61.96,513,565
PBAL6061-CX900T1/4S18,"18""",900,AL-6061,"1/4""",0.25,5.1,14.76,20.66,154,170
PB304-CX900T5/16S18,"18""",900,304,"5/16""",0.3125,5.55,54.71,76.59,474,522
PBSA36-CX900T5/16S18,"18""",900,SA-36,"5/16""",0.3125,1.87,52.37,73.32,186,205
PBSA516-70-CX900T5/16S18,"18""",900,SA-516-70,"5/16""",0.3125,2.18,52.37,73.32,209,230
PB304L-CX900T5/16S18,"18""",900,304L,"5/16""",0.3125,6.01,54.71,76.59,509,560
PB316L-CX900T5/16S18,"18""",900,316L,"5/16""",0.3125,7.48,55.33,77.46,629,692
PBAL6061-CX900T5/16S18,"18""",900,AL-6061,"5/16""",0.3125,5.1,18.45,25.83,181,200
PB304-CX900T3/8S18,"18""",900,304,"3/8""",0.375,5.55,65.65,91.91,559,615
PBSA36-CX900T3/8S18,"18""",900,SA-36,"3/8""",0.375,1.87,62.84,87.98,214,236
PBSA516-70-CX900T3/8S18,"18""",900,SA-516-70,"3/8""",0.375,2.18,62.84,87.98,241,266
PB304L-CX900T3/8S18,"18""",900,304L,"3/8""",0.375,6.01,65.65,91.91,601,662
PB316L-CX900T3/8S18,"18""",900,316L,"3/8""",0.375,7.48,66.4,92.96,744,819
PBAL6061-CX900T3/8S18,"18""",900,AL-6061,"3/8""",0.375,5.1,22.14,31,207,228
PB304-CX900T1/2S18,"18""",900,304,"1/2""",0.5,5.55,87.53,122.54,729,802
PBSA36-CX900T1/2S18,"18""",900,SA-36,"1/2""",0.5,1.87,83.79,117.31,268,295
PBSA516-70-CX900T1/2S18,"18""",900,SA-516-70,"1/2""",0.5,2.18,83.79,117.31,305,336
PB304L-CX900T1/2S18,"18""",900,304L,"1/2""",0.5,6.01,87.53,122.54,786,865
PB316L-CX900T1/2S18,"18""",900,316L,"1/2""",0.5,7.48,88.53,123.94,976,1074
PBAL6061-CX900T1/2S18,"18""",900,AL-6061,"1/2""",0.5,5.1,29.52,41.33,260,286
PB304-CX900T5/8S18,"18""",900,304,"5/8""",0.625,5.55,109.42,153.19,899,989
PBSA36-CX900T5/8S18,"18""",900,SA-36,"5/8""",0.625,1.87,104.74,146.64,323,356
PBSA516-70-CX900T5/8S18,"18""",900,SA-516-70,"5/8""",0.625,2.18,104.74,146.64,369,406
PB304L-CX900T5/8S18,"18""",900,304L,"5/8""",0.625,6.01,109.42,153.19,970,1067
PB316L-CX900T5/8S18,"18""",900,316L,"5/8""",0.625,7.48,110.66,154.92,1208,1329
PBAL6061-CX900T5/8S18,"18""",900,AL-6061,"5/8""",0.625,5.1,36.9,51.66,313,345
PB304-CX900T3/4S18,"18""",900,304,"3/4""",0.75,5.55,131.3,183.82,1069,1176
PBSA36-CX900T3/4S18,"18""",900,SA-36,"3/4""",0.75,1.87,125.68,175.95,378,416
PBSA516-70-CX900T3/4S18,"18""",900,SA-516-70,"3/4""",0.75,2.18,125.68,175.95,433,477
